"Timestamp","Пин код","За какую партию вы проголосовали?","За какого кандидата вы проголосовали?","Ваш пол","Ваш возраст"
"2021/09/19 4:37:00 PM GMT+2","25666","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 4:37:04 PM GMT+2","202103","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 4:41:30 PM GMT+2","55445","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 4:43:55 PM GMT+2","627870","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 4:46:17 PM GMT+2","824776","КПРФ","Шипилов Василий Анатольевич, КПРФ","Мужской","18-24"
"2021/09/19 4:49:34 PM GMT+2","810508","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Женский","25-44"
"2021/09/19 4:53:45 PM GMT+2","426911","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 4:54:41 PM GMT+2","688615","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 4:59:45 PM GMT+2","998186","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 5:02:26 PM GMT+2","148681","Зелёные","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:03:13 PM GMT+2","889192","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:04:16 PM GMT+2","456426","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 5:09:17 PM GMT+2","1234","Яблоко","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 5:10:05 PM GMT+2","280806","Яблоко","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 5:12:24 PM GMT+2","5110","Новые люди","Ростовцев Александр Валерьевич, Справедливая Россия – Патриоты","Женский","25-44"
"2021/09/19 5:15:39 PM GMT+2","921686","Справедливая Россия — За Правду","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:15:47 PM GMT+2","60903","Новые люди","Кротов Евгений Геннадьевич, Родина","Мужской","25-44"
"2021/09/19 5:16:12 PM GMT+2","419166","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Женский","25-44"
"2021/09/19 5:17:47 PM GMT+2","251690","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:18:21 PM GMT+2","639261","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:20:06 PM GMT+2","bounine2505","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:23:14 PM GMT+2","Festival","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 5:25:13 PM GMT+2","890980","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 5:26:01 PM GMT+2","206339","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:26:29 PM GMT+2","629166","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:30:26 PM GMT+2","662918","","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:31:32 PM GMT+2","754366","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 5:34:31 PM GMT+2","480073","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:34:47 PM GMT+2","564397","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:36:30 PM GMT+2","922494","Новые люди","Цин-Дэ-Шань Александр Андреевич, Новые люди","Женский","25-44"
"2021/09/19 5:43:22 PM GMT+2","622538","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 5:43:51 PM GMT+2","345562","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:44:22 PM GMT+2","530455","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 5:45:15 PM GMT+2","970307","ЛДПР","Диденко Алексей Николаевич, ЛДПР","","25-44"
"2021/09/19 5:46:47 PM GMT+2","749590","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:50:18 PM GMT+2","251379","Новые люди","Цин-Дэ-Шань Александр Андреевич, Новые люди","Женский","25-44"
"2021/09/19 5:53:16 PM GMT+2","934033","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:53:19 PM GMT+2","786163","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 5:55:56 PM GMT+2","170723","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:56:13 PM GMT+2","750863","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:56:45 PM GMT+2","359942","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 5:58:49 PM GMT+2","161475","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 6:03:02 PM GMT+2","765465","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:03:36 PM GMT+2","363970","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 6:03:49 PM GMT+2","814183","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 6:05:27 PM GMT+2","181616","КПРФ","Диденко Алексей Николаевич, ЛДПР","","25-44"
"2021/09/19 6:12:42 PM GMT+2","781185","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","45-64"
"2021/09/19 6:15:30 PM GMT+2","846132","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:16:17 PM GMT+2","795270","Испортил бюллетень","Испортил бюллетень","Женский","18-24"
"2021/09/19 6:16:32 PM GMT+2","624937","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:20:15 PM GMT+2","171212","КПРФ","Шипилов Василий Анатольевич, КПРФ","Женский","25-44"
"2021/09/19 6:22:59 PM GMT+2","458555","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","45-64"
"2021/09/19 6:23:21 PM GMT+2","507705","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","45-64"
"2021/09/19 6:28:48 PM GMT+2","564506","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:28:50 PM GMT+2","256662","Справедливая Россия — За Правду","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:29:21 PM GMT+2","856700","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:35:35 PM GMT+2","98187","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:36:37 PM GMT+2","274485","Справедливая Россия — За Правду","Леонтьев Илья Алексеевич, Единая Россия","Мужской","25-44"
"2021/09/19 6:38:05 PM GMT+2","661213","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:38:21 PM GMT+2","967255","КПРФ","Ульянова Елена Захаровна, Партия роста","Женский","25-44"
"2021/09/19 6:38:34 PM GMT+2","5467","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:38:48 PM GMT+2","945095","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 6:41:21 PM GMT+2","414513","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 6:41:40 PM GMT+2","317733","Зеленая альтернатива","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 6:43:55 PM GMT+2","652834","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 6:47:03 PM GMT+2","365050","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:47:36 PM GMT+2","117019","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 6:57:06 PM GMT+2","721545","Партия роста","Ульянова Елена Захаровна, Партия роста","Женский","18-24"
"2021/09/19 6:58:26 PM GMT+2","496879","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 7:01:21 PM GMT+2","385855","Яблоко","Ерёмин Василий Васильевич, Яблоко","Женский","25-44"
"2021/09/19 7:03:03 PM GMT+2","759629","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 7:03:43 PM GMT+2","927890","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 7:17:42 PM GMT+2","PIN","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 7:17:49 PM GMT+2","229821","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 7:24:11 PM GMT+2","146784","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 7:26:37 PM GMT+2","25498","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 7:26:50 PM GMT+2","959031","Яблоко","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 7:29:14 PM GMT+2","595426","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 7:53:03 PM GMT+2","227324","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 8:06:05 PM GMT+2","584256","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 8:26:50 PM GMT+2","796310","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 8:26:52 PM GMT+2","889562","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 8:56:09 PM GMT+2","496366","Справедливая Россия — За Правду","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 9:04:17 PM GMT+2","552596","Яблоко","Ростовцев Александр Валерьевич, Справедливая Россия – Патриоты","Женский","25-44"
"2021/09/19 10:45:30 PM GMT+2","612557","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/20 12:03:07 AM GMT+2","740865","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/20 11:08:44 AM GMT+2","784534","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/20 11:56:08 AM GMT+2","29059","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/20 11:58:06 AM GMT+2","953710","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/20 12:08:18 PM GMT+2","106301","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
