"Timestamp","Пин код","За какую партию вы проголосовали?","За какого кандидата вы проголосовали?","Ваш пол","Ваш возраст"
"2021/09/19 12:51:19 PM GMT+2","947917","Партия свободы и справедливости","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 12:54:10 PM GMT+2","238099","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:55:35 PM GMT+2","638941","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:56:31 PM GMT+2","626156","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:03:13 PM GMT+2","764699","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:03:22 PM GMT+2","124860","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:06:54 PM GMT+2","935567","Яблоко","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:07:34 PM GMT+2","667429","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:08:09 PM GMT+2","875039","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 1:11:15 PM GMT+2","548001","Яблоко","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:11:32 PM GMT+2","47991","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:12:16 PM GMT+2","198807","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:15:08 PM GMT+2","475277","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:15:56 PM GMT+2","237248","Новые люди","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:18:34 PM GMT+2","700862","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","45-64"
"2021/09/19 1:21:11 PM GMT+2","387788","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:22:13 PM GMT+2","397142","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:23:49 PM GMT+2","874254","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:24:16 PM GMT+2","994469","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","45-64"
"2021/09/19 1:24:32 PM GMT+2","792803","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:25:14 PM GMT+2","55468","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:25:15 PM GMT+2","976089","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:25:51 PM GMT+2","369915","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:26:21 PM GMT+2","671466","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 1:26:40 PM GMT+2","133751","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","45-64"
"2021/09/19 1:31:42 PM GMT+2","972900","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:31:47 PM GMT+2","484159","Зеленая альтернатива","Ульянова Елена Захаровна, Партия роста","Женский","25-44"
"2021/09/19 1:31:51 PM GMT+2","374663","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:32:44 PM GMT+2","327095","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:33:25 PM GMT+2","581924","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Мужской","18-24"
"2021/09/19 1:33:43 PM GMT+2","310894","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:41:29 PM GMT+2","24476","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 1:46:18 PM GMT+2","618793","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 1:49:28 PM GMT+2","28445","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Женский","18-24"
"2021/09/19 1:50:04 PM GMT+2","622824","Новые люди","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:50:27 PM GMT+2","829265","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 1:55:00 PM GMT+2","620512","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 1:59:45 PM GMT+2","12381","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:00:05 PM GMT+2","229654","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 2:01:19 PM GMT+2","160003","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:05:23 PM GMT+2","283929","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:06:36 PM GMT+2","76089","Партия свободы и справедливости","Шипилов Василий Анатольевич, КПРФ","Женский","25-44"
"2021/09/19 2:10:01 PM GMT+2","528256","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 2:14:11 PM GMT+2","860239","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 2:14:45 PM GMT+2","406463","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 2:17:02 PM GMT+2","576945","Партия свободы и справедливости","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 2:18:25 PM GMT+2","7941","Зелёные","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 2:21:29 PM GMT+2","387728","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:23:50 PM GMT+2","626737","Новые люди","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 2:25:24 PM GMT+2","585115","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:25:44 PM GMT+2","423700","Единая Россия","Леонтьев Илья Алексеевич, Единая Россия","Мужской","25-44"
"2021/09/19 2:26:42 PM GMT+2","277908","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 2:27:02 PM GMT+2","663203","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:27:24 PM GMT+2","993422","Новые люди","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 2:27:36 PM GMT+2","400881","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:27:40 PM GMT+2","553670","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 2:27:48 PM GMT+2","821293","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:36:49 PM GMT+2","59303","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 2:38:54 PM GMT+2","773447","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 2:39:50 PM GMT+2","540086","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 2:40:49 PM GMT+2","125276","Новые люди","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 2:40:50 PM GMT+2","784046","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Мужской","18-24"
"2021/09/19 2:40:54 PM GMT+2","566452","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 2:41:49 PM GMT+2","366270","Новые люди","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 2:43:10 PM GMT+2","173021","Яблоко","Ерёмин Василий Васильевич, Яблоко","Мужской","25-44"
"2021/09/19 2:43:28 PM GMT+2","842693","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
